#,Pos,Top,Left,Front,Right,Down,Behind,n_free,p,Regla,Accion,Nueva_Pos,Steps_Remaining,K,Alive
1,"[2, 2, 1]",-1,0,0,0,-1,0,,0.1,,wait,"[2, 2, 1]",9,10,True
2,"[2, 2, 1]",-1,0,0,0,-1,0,,0.1,,wait,"[2, 2, 1]",8,10,True
3,"[2, 2, 1]",-1,0,0,0,-1,0,,0.1,,wait,"[2, 2, 1]",7,10,True
4,"[2, 2, 1]",-1,0,0,0,-1,0,,0.1,,wait,"[2, 2, 1]",6,10,True
5,"[2, 2, 1]",-1,0,0,0,-1,0,,0.1,,wait,"[2, 2, 1]",5,10,True
6,"[2, 2, 1]",-1,0,0,0,-1,0,,0.1,,wait,"[2, 2, 1]",4,10,True
7,"[2, 2, 1]",-1,0,0,0,-1,0,,0.1,,wait,"[2, 2, 1]",3,10,True
8,"[2, 2, 1]",-1,0,0,0,-1,0,,0.1,,wait,"[2, 2, 1]",2,10,True
9,"[2, 2, 1]",-1,0,0,0,-1,0,,0.1,,wait,"[2, 2, 1]",1,10,True
10,"[2, 2, 1]",-1,0,0,0,-1,0,,0.1,,wait,"[2, 2, 1]",10,10,True
11,"[2, 2, 1]",-1,0,0,0,-1,0,,0.1,,wait,"[2, 2, 1]",9,10,True
12,"[2, 2, 1]",-1,0,0,0,-1,0,,0.1,,wait,"[2, 2, 1]",8,10,True
13,"[2, 2, 1]",-1,0,0,0,-1,0,,0.1,,wait,"[2, 2, 1]",7,10,True
14,"[2, 2, 1]",-1,0,0,0,-1,0,,0.1,,wait,"[2, 2, 1]",6,10,True
15,"[2, 2, 1]",-1,0,0,0,-1,0,,0.1,,wait,"[2, 2, 1]",5,10,True
16,"[2, 2, 1]",-1,0,0,0,-1,0,,0.1,,wait,"[2, 2, 1]",4,10,True
17,"[2, 2, 1]",-1,0,0,0,-1,0,,0.1,,wait,"[2, 2, 1]",3,10,True
18,"[2, 2, 1]",-1,0,0,0,-1,0,,0.1,,wait,"[2, 2, 1]",2,10,True
19,"[2, 2, 1]",-1,0,0,0,-1,0,,0.1,,wait,"[2, 2, 1]",1,10,True
20,"[2, 2, 1]",-1,0,0,0,-1,0,,0.1,11,"Mover aleatorio entre [Left, Front, Right, Behind]","[1, 2, 1]",10,10,True
21,"[1, 2, 1]",0,-1,0,0,-1,0,,0.1,,wait,"[1, 2, 1]",9,10,True
22,"[1, 2, 1]",0,-1,-1,0,-1,0,,0.1,,wait,"[1, 2, 1]",8,10,True
